Model,Train Accuracy,Train Precision,Train Recall,Train F1 Score,Test Accuracy,Test Precision,Test Recall,Test F1 Score,Test ROC AUC,Estimated Time (s),Actual Time (s)
Gradient Boosting,0.41165264454213213,0.43041798314371577,0.41165264454213213,0.37000276565935736,0.40890178386392256,0.38592881325056216,0.40890178386392256,0.3658929654423904,0.7879906043561754,5.520086,248.3872299194336
XGBoost,0.46224787077592633,0.4933041583286522,0.46224787077592633,0.4321493945384756,0.4261665258492882,0.4078502588033009,0.4261665258492882,0.39154145599638646,0.8055366545438241,6.7746509999999995,10.502198457717896
CatBoost,0.44212137274672897,0.4495239987587724,0.44212137274672897,0.4067431297317318,0.42968961724242377,0.40791371039925256,0.42968961724242377,0.39269099796156387,0.8124615600524533,15.807519,6928.172474384308
LightGBM,0.4539382176292181,0.48271894908059904,0.4539382176292181,0.4217219582183087,0.42664477354971386,0.40848652285699416,0.42664477354971386,0.39128903676434923,0.8067283860371284,7.9037595,4.488355398178101
