iter	Passed	Remaining
334	2605328	5171771
335	2614831	5167404
336	2623393	5161156
337	2632198	5155370
338	2640575	5148732
339	2649409	5142970
340	2658225	5137156
341	2667049	5131340
342	2675646	5125072
343	2683539	5117447
344	2692179	5111238
345	2700718	5104825
346	2709165	5098228
347	2717737	5091852
348	2726903	5086573
349	2735461	5080142
350	2743327	5072421
351	2753184	5068362
352	2761701	5061816
353	2770998	5056680
354	2780085	5051141
355	2789382	5045961
356	2798242	5039971
357	2808986	5037343
358	2818407	5032310
359	2827120	5025991
360	2835614	5019272
361	2844375	5013014
362	2853272	5006981
363	2862105	5000821
364	2870840	4994476
365	2879136	4987356
366	2887893	4981026
367	2896328	4974128
368	2904295	4966423
369	2912270	4958730
370	2922166	4954292
371	2930971	4947983
372	2939937	4941933
373	2948447	4935101
374	2957501	4929168
375	2965941	4922200
376	2974607	4915598
377	2983552	4909443
378	2992598	4903439
379	3001255	4896785
380	3010119	4890456
381	3019321	4884661
382	3027855	4877772
383	3036812	4871552
384	3045624	4865088
385	3054832	4859241
386	3064310	4853803
387	3073177	4847382
388	3081930	4840770
389	3089957	4833010
390	3097588	4824633
391	3106828	4818754
392	3115630	4812182
393	3125327	4806976
394	3134101	4800332
395	3141983	4792317
396	3150866	4785825
397	3159688	4779227
398	3169032	4773405
399	3178342	4767513
400	3187467	4761329
401	3195495	4753498
402	3203571	4745736
403	3212377	4739051
404	3221102	4732237
405	3230131	4725857
406	3239462	4719904
407	3248039	4712842
408	3256685	4705870
409	3265241	4698761
410	3274542	4692714
411	3283159	4685674
412	3290697	4677093
413	3299365	4670117
414	3308110	4663239
415	3316597	4655993
416	3325253	4648976
417	3333700	4641659
418	3342588	4634949
419	3350635	4627068
420	3359128	4619798
421	3367495	4612351
422	3376336	4605546
423	3384088	4597252
424	3392399	4589717
425	3400949	4582499
426	3407324	4572357
427	3416548	4566041
428	3425342	4559138
429	3433685	4551629
430	3443478	4546030
431	3451254	4537760
432	3459650	4530303
433	3467639	4522313
434	3476492	4515444
435	3486006	4509421
436	3495201	4502971
437	3503828	4495780
438	3510321	4485854
439	3518764	4478427
440	3527661	4471571
441	3536342	4464432
442	3544880	4457107
443	3553686	4450111
444	3562883	4443596
445	3570735	4435397
446	3580098	4429070
447	3589400	4422654
448	3598453	4415919
449	3607440	4409093
450	3615954	4401683
451	3624589	4394413
452	3632002	4385663
453	3641423	4379332
454	3650894	4373049
455	3659626	4365869
456	3668669	4359053
457	3676889	4351253
458	3685620	4344054
459	3694146	4336606
460	3703047	4329593
461	3711461	4322004
462	3720614	4315269
463	3728584	4307157
464	3737831	4300515
465	3746877	4293632
466	3755685	4286468
467	3764315	4279094
468	3772666	4271398
469	3781393	4264124
470	3789795	4256479
471	3798748	4249447
472	3808684	4243502
473	3817021	4235766
474	3824829	4227443
475	3833308	4219860
476	3842233	4212763
477	3851451	4205978
478	3859316	4197711
479	3866728	4188955
480	3875621	4181803
481	3885159	4175337
482	3893244	4167303
483	3901990	4159973
484	3909828	4151673
485	3918585	4144347
486	3927397	4137073
487	3936097	4129676
488	3945119	4122609
489	3954119	4115512
490	3963302	4108596
491	3972399	4101582
492	3979688	4092701
493	3988026	4084901
494	3996692	4077433
495	4005403	4070007
496	4014306	4062769
497	4023204	4055519
498	4032310	4048472
499	4040512	4040512
500	4049379	4033214
501	4058571	4026232
502	4068217	4019689
503	4076759	4012048
504	4085244	4004348
505	4094057	3996965
506	4103711	3990394
507	4113241	3983690
508	4122351	3976570
509	4130822	3968829
510	4139374	3961163
511	4148569	3954105
512	4156852	3946174
513	4165693	3938768
514	4174186	3931030
515	4183285	3923857
516	4192467	3916753
517	4201159	3909186
518	4210476	3902194
519	4219730	3895136
520	4229185	3888253
521	4237361	3880189
522	4245289	3871898
523	4253733	3864078
524	4261891	3855997
525	4270749	3848546
526	4280121	3841551
527	4289234	3834315
528	4297582	3826391
529	4305171	3817793
530	4312940	3809358
531	4321101	3801270
532	4329607	3793483
533	4338438	3785978
534	4347015	3778247
535	4354752	3769786
536	4364420	3762991
537	4373422	3755615
538	4379892	3746067
539	4389370	3739093
540	4398178	3731541
541	4406285	3723392
542	4413713	3714672
543	4423222	3707700
544	4432821	3700796
545	4441842	3693400
546	4450722	3685881
547	4459197	3678023
548	4467848	3670308
549	4476480	3662574
550	4484284	3654162
551	4492559	3646135
552	4501809	3638894
553	4511066	3631653
554	4520630	3624649
555	4528811	3616533
556	4534602	3606515
557	4537984	3594604
558	4542208	3583387
559	4546925	3572584
560	4550382	3560815
561	4554368	3549489
562	4557619	3537619
563	4562063	3526701
564	4566589	3515870
565	4569250	3503630
566	4573320	3492500
567	4577404	3481406
568	4581381	3470255
569	4585747	3459423
570	4591181	3449416
571	4635930	3468843
572	4677281	3485513
573	4711261	3496511
574	4746878	3508562
575	4781702	3519864
576	4787271	3509559
577	4791068	3497977
578	4794945	3486480
579	4798928	3475085
580	4803061	3463825
581	4806936	3452404
582	4811316	3441370
583	4833400	3442970
584	4866675	3452427
585	4901422	3462779
586	4935316	3472377
587	4967355	3480527
588	5004266	3491941
589	5028116	3494115
590	5031413	3481976
591	5035168	3470183
592	5040176	3459278
593	5043953	3447550
594	5048273	3436220
595	5051363	3424078
596	5056395	3413278
597	5060063	3401580
598	5063830	3389976
599	5068352	3378901
600	5072248	3367432
601	5077038	3356580
602	5080001	3344544
603	5084250	3333382
604	5105912	3333612
605	5128837	3334590
606	5133072	3323389
607	5136331	3311582
608	5141330	3300919
609	5144469	3289087
610	5148870	3278086
611	5152404	3266557
612	5156475	3255393
613	5166885	3248237
614	5199782	3255148
615	5225584	3257506
616	5229124	3245955
617	5233647	3235037
618	5238460	3224319
619	5241620	3212606
620	5245950	3201634
621	5249624	3190286
622	5254470	3179671
623	5257892	3168217
624	5261761	3157057
625	5265039	3145566
626	5268826	3134405
627	5272718	3123330
628	5276581	3112260
629	5280103	3101013
630	5283899	3089950
631	5287983	3079079
632	5291530	3067917
633	5295367	3056947
634	5299447	3046139
635	5303742	3035475
636	5307941	3024776
637	5311671	3013832
638	5315793	3003132
639	5319134	2992013
640	5323263	2981359
641	5327389	2970724
642	5332061	2960413
643	5336260	2949858
644	5339494	2938791
645	5344092	2928496
646	5347759	2917711
647	5351544	2907011
648	5355362	2896351
649	5359339	2885798
650	5363460	2875342
651	5366749	2864461
652	5371298	2854273
653	5374933	2843619
654	5378709	2833060
655	5383066	2822827
656	5386985	2812383
657	5390939	2801977
658	5394369	2791320
659	5398178	2780879
660	5401954	2770442
661	5406969	2760658
662	5410757	2750264
663	5414695	2739966
664	5419239	2729992
665	5422661	2719472
666	5426949	2709406
667	5430206	2698845
668	5434337	2688738
669	5437491	2678167
670	5441342	2667960
671	5444518	2657443
672	5448201	2647194
673	5452349	2637189
674	5455498	2626721
675	5459644	2616752
676	5463502	2606663
677	5467968	2596881
678	5471166	2586516
679	5475245	2576585
680	5478034	2566068
681	5481929	2556090
682	5485811	2546123
683	5490139	2536380
684	5493537	2526225
685	5496855	2516053
686	5500869	2506218
687	5504937	2496425
688	5508430	2486388
689	5512442	2476604
690	5516585	2466895
691	5521276	2457446
692	5525126	2447638
693	5528555	2437662
694	5532837	2428079
695	5536846	2418392
696	5540860	2408724
697	5544925	2399093
698	5548661	2389337
699	5551910	2379390
700	5555929	2369789
701	5559490	2360011
702	5563345	2350374
703	5567293	2340794
704	5570879	2331077
705	5574898	2321558
706	5578020	2311683
707	5582545	2302405
708	5585821	2292629
709	5590006	2283242
710	5593254	2273488
711	5597601	2264198
712	5600445	2254316
713	5604437	2244914
714	5607739	2235252
715	5612270	2226096
716	5615632	2216490
717	5619482	2207094
718	5623425	2197750
719	5627464	2188458
720	5633792	2180066
721	5662297	2180219
722	5696028	2182295
723	5727699	2183487
724	5758190	2184141
725	5787768	2184364
726	5801484	2178549
727	5805908	2169240
728	5809158	2159508
729	5813945	2150363
730	5816935	2140568
731	5821115	2131228
732	5824282	2121532
733	5828681	2112301
734	5832336	2102815
735	5836418	2093497
736	5840287	2084118
737	5844536	2074889
738	5848333	2065514
739	5851906	2056075
740	5855860	2046785
741	5859757	2037489
742	5863721	2028231
743	5867606	2018961
744	5870944	2009518
745	5874611	2000202
746	5878093	1990840
747	5882442	1981785
748	5886284	1972573
749	5890455	1963485
750	5894856	1954486
751	5899176	1945473
752	5902288	1936076
753	5906410	1927025
754	5910571	1917999
755	5914909	1909044
756	5918683	1899920
757	5922117	1890702
758	5926226	1881713
759	5929686	1872532
760	5933882	1863597
761	5937769	1854578
762	5941263	1845451
763	5945258	1836493
764	5948912	1827443
765	5952482	1818382
766	5955955	1809305
767	5960433	1800547
768	5970457	1793466
769	5998458	1791747
770	6025895	1789792
771	6053880	1787933
772	6082261	1786123
773	6107370	1783289
774	6110720	1774080
775	6114590	1765036
776	6118280	1755954
777	6122710	1747097
778	6126218	1737990
779	6129821	1728923
780	6134122	1720067
781	6137455	1710952
782	6141549	1702064
783	6145145	1693050
784	6149654	1684300
785	6152528	1675115
786	6156663	1666288
787	6160453	1657380
788	6164285	1648497
789	6168209	1639650
790	6171831	1630736
791	6176154	1622020
792	6179988	1613187
793	6184404	1604518
794	6187890	1595619
795	6192029	1586902
796	6195957	1578142
797	6200261	1569489
798	6204618	1560861
799	6208145	1552036
800	6212156	1543344
801	6216452	1534735
802	6219668	1525871
803	6222771	1516994
804	6226378	1508253
805	6230856	1499734
806	6234897	1491121
807	6239413	1482632
808	6242661	1473854
809	6247134	1465377
810	6250647	1456686
811	6254607	1448111
812	6258458	1439522
813	6261710	1430808
814	6265845	1422308
815	6269605	1413734
816	6273815	1405273
817	6276714	1396530
818	6280741	1388051
819	6284420	1379506
820	6288667	1371098
821	6292243	1362553
822	6296560	1354181
823	6300557	1345750
824	6305457	1337521
825	6309157	1329047
826	6312840	1320582
827	6316920	1312210
828	6321045	1303858
829	6324533	1295386
830	6328681	1287060
831	6332329	1278643
832	6336709	1270384
833	6341058	1262129
834	6344807	1253764
835	6349257	1245548
836	6353327	1237266
837	6357011	1228921
838	6360914	1220628
839	6364643	1212312
840	6368736	1204077
841	6372247	1195742
842	6376770	1187607
843	6380147	1179268
844	6384482	1171118
845	6388152	1162855
846	6392196	1154670
847	6395442	1146352
848	6399682	1138223
849	6402472	1129848
850	6406906	1121773
851	6410164	1113502
852	6414351	1105404
853	6417801	1097188
854	6421599	1089043
855	6425938	1080998
856	6429180	1072780
857	6434032	1064839
858	6437469	1056674
859	6442178	1048726
860	6445889	1040625
861	6450017	1032601
862	6454270	1024606
863	6457655	1016482
864	6462348	1008574
865	6466170	1000539
866	6470594	992605
867	6474975	984673
